Queryila	Hitita	Kailavsita	Ksilavsita	KaKsilavsita	NJtree	Ath_annotation	Annotated_EST	Viridiplantae_annotation
ila226436	ita22443	0.0353	0.0621	0.568438003220612	(ila,ita)	none	ila226436	560274	
ila229990	ita35155	0.0162	0.0806	0.200992555831265	(ita,ila)	none	ita35155	7323	
ila25791	ita21243	0.0012	0.1243	0.00965406275140788	(ita,ila)	AT4G02930.1	ita21243	781279	
ila19671	ita31211	0.0134	0.1633	0.0820575627679118	(ita,ila)	AT5G43360.1	ita31211	700839	
ila28692	ita12062	0.0292	0.0948	0.308016877637131	(ita,ila)	AT3G18890.1	ita12062	574479	
ila209890	ita807	0.0410	0.0608	0.674342105263158	(ita,ila)	none	ita8071	689092	
ila35388	ita2506	0.0256	0.0999	0.256256256256256	(ita,ila)	AT5G07310.1	ita25069	563901	
ila4046	ita9901	0.0134	0.1027	0.13047711781889	(ila,ita)	AT1G67550.1	ila4046	549911	
ila23527	ita25077	0.0183	0.0940	0.19468085106383	(ita,ila)	AT3G19553.1	ita25077	702201	
ila228563	ita14402	0.0156	0.1058	0.147448015122873	(ita,ila)	AT3G15730.1	ita14402	703551	
ila22476	ita16017	0.0206	0.0922	0.223427331887202	(ita,ila)	none	ita16017	14566	
ila27777	ita14777	0.0168	0.0826	0.203389830508475	(ila,ita)	none	ila27777	574939	
ila33860	ita30503	0.0085	0.1409	0.0603264726756565	(ita,ila)	AT1G80670.1	ita30503	570160	
ila228200	ita14412	0.0448	0.5189	0.0863364810175371	(ila,ita)	none	ila228200	699372	
ila34282	ita21613	0.0259	0.0967	0.267838676318511	(ita,ila)	none	ita21613	406424	
ila232077	ita11723	0.0089	0.0974	0.0913757700205339	(ita,ila)	none	ita11723	571977	
ila20205	ita36456	0.5067	1.3565	0.373534832288979	(ila,ita)	AT3G57650.1	ila20205	732138	
ila31852	ita741	0.0274	0.0908	0.301762114537445	(ila,ita)	AT4G30340.1	ila31852	703954	
ila219654	ita6191	0.2279	0.8642	0.263712103679704	(ita,ila)	none	ita6191	4992	
ila1596	ita32483	0.0336	0.1626	0.206642066420664	(ila,ita)	none	ila15966	827179	
ila227052	ita26324	0.0227	0.0866	0.262124711316397	(ila,ita)	none	ila227052	642015	
ila7588	ita10551	0.0080	0.1170	0.0683760683760684	(ita,ila)	AT4G17770.1	ita10551	694323	
ila36804	ita30784	0.0001	0.0613	0.00163132137030995	(ila,ita)	AT5G09860.1	ila36804	707650	
ila35338	ita19560	0.0285	0.0925	0.308108108108108	(ila,ita)	none	ila35338	561396	
ila232907	ita6759	0.0053	0.0980	0.0540816326530612	(ita,ila)	AT1G25540.1	ita6759	698165	
ila25955	ita18580	0.0264	0.1590	0.166037735849057	(ila,ita)	none	ila25955	696387	
ila225881	ita18774	0.0464	0.1277	0.36335160532498	(ita,ila)	none	ita18774	696460	
ila29505	ita33588	0.0248	0.2236	0.110912343470483	(ita,ila)	none	ita33588	706684	
ila13243	ita18499	0.0002	0.2056	0.000972762645914397	(ita,ila)	none	ita18499	255164	
ila222755	ita30706	0.0305	0.1005	0.303482587064677	(ita,ila)	AT1G07950.1	ita30706	701132	
ila19954	ita9180	0.0084	0.1470	0.0571428571428571	(ita,ila)	AT5G35910.1	ita9180	699440	
ila23541	ita16797	0.0022	0.0532	0.0413533834586466	(ila,ita)	AT3G07810.2	ila23541	703055	
ila227918	ita7348	0.0209	0.0767	0.272490221642764	(ila,ita)	none	ila227918	79598	
ila21346	ita27671	0.0086	0.0176	0.488636363636364	(ita,ila)	ATCG00680.1	ita27671	24943	
ila31974	ita18112	0.0207	0.0919	0.225244831338411	(ita,ila)	none	ita18112	709599	
ila5986	ita32309	0.0553	0.1743	0.317269076305221	(ita,ila)	none	ita32309	797372	
ila14762	ita29929	0.0098	0.0820	0.119512195121951	(ita,ila)	AT5G57960.1	ita29929	709873	
ila34333	ita24165	0.0390	0.1455	0.268041237113402	(ila,ita)	AT5G52980.1	ila34333	705197	
ila228711	ita30096	0.0165	0.1052	0.156844106463878	(ila,ita)	none	ila228711	569234	
ila228206	ita10643	0.1952	2.1294	0.0916690147459378	(ila,ita)	none	ila228206	563823	
ila17480	ita24211	0.0499	0.2639	0.189086775293672	(ila,ita)	none	ila17480	701748	
ila231459	ita15322	0.0111	0.1874	0.0592315901814301	(ita,ila)	AT5G41460.1	ita15322	695550	
ila225303	ita26548	0.0362	0.0494	0.732793522267207	(ila,ita)	none	ila225303	692794	
ila37191	ita2845	0.0165	0.1116	0.147849462365591	(ila,ita)	AT1G04420.1	ila37191	498281	
ila28292	ita14735	0.0197	0.2063	0.0954920019389239	(ita,ila)	AT4G29340.1	ita14735	707728	
ila16383	ita11216	0.0258	0.1642	0.157125456760049	(ita,ila)	AT5G58140.1	ita11216	694694	
ila24632	ita22711	0.0336	0.1128	0.297872340425532	(ila,ita)	none	ila24632	690834	
ila34500	ita17113	0.0036	0.0843	0.0427046263345196	(ila,ita)	AT1G30450.2	ila34500	701030	
ila224648	ita16251	0.0226	0.1546	0.146183699870634	(ila,ita)	none	ila224648	572675	
ila37215	ita8592	0.0075	0.1177	0.0637213254035684	(ita,ila)	AT5G42020.1	ita8592	194728	
ila36063	ita12995	0.0355	0.1150	0.308695652173913	(ita,ila)	none	ita12995	170489	
ila34517	ita24425	0.7468	68.0760	0.0109700922498384	(ila,ita)	AT1G66950.1	ila34517	276334	
ila224555	ita37443	0.0139	0.0705	0.197163120567376	(ila,ita)	AT3G17930.1	ila224555	37908	
ila22670	ita4378	0.0071	0.0987	0.07193515704154	(ila,ita)	AT5G11200.1	ila22670	708365	
ila27896	ita18221	0.0229	0.0607	0.377265238879736	(ita,ila)	none	ita18221	761759	
ila20202	ita6678	0.0144	0.1033	0.139399806389158	(ila,ita)	AT5G07920.1	ila20202	698018	
ila25950	ita18661	0.0067	0.0813	0.0824108241082411	(ita,ila)	AT3G24590.1	ita18661	697036	
ila32691	ita15255	0.0262	0.1254	0.208931419457735	(ita,ila)	none	ita15255	695605	
ila36010	ita24166	0.0117	0.1123	0.104185218165628	(ila,ita)	AT4G30100.1	ila36010	173846	
ila34628	ita8561	0.0313	0.1181	0.265029635901778	(ila,ita)	none	ila34628	697124	
ila229563	ita38640	0.0414	0.0972	0.425925925925926	(ila,ita)	none	ila229563	559424	
ila227665	ita7405	0.0361	0.0474	0.761603375527426	(ita,ila)	none	ita7405	707132	
ila36688	ita34113	0.0185	0.1199	0.154295246038365	(ila,ita)	AT1G04200.1	ila36688	693971	
ila214247	ita3498	0.0452	0.0854	0.529274004683841	(ila,ita)	none	ila214247	298230	
ila217969	ita27954	0.0265	0.1116	0.237455197132616	(ila,ita)	none	ila217969	828834	
ila6553	ita9888	0.0001	0.0838	0.00119331742243437	(ita,ila)	AT1G09130.2	ita9888	575311	
ila28989	ita30049	0.0402	0.1608	0.25	(ila,ita)	none	ila28989	778548	
ila12400	ita9459	0.0890	0.3462	0.257076834199884	(ila,ita)	AT1G34340.1	ila12400	433828	
ila37013	ita12929	0.0084	0.1246	0.0674157303370786	(ila,ita)	AT5G22400.1	ila37013	701335	
ila35842	ita38470	0.1901	0.3245	0.585824345146379	(ila,ita)	none	ila35842	703117	
ila6577	ita15355	0.0106	0.0981	0.108053007135576	(ita,ila)	AT1G43670.1	ita15355	135435	
ila230821	ita10319	0.0974	0.1748	0.55720823798627	(ila,ita)	none	ila230821	818870	
ila24352	ita13514	0.0002	0.1950	0.00102564102564103	(ita,ila)	none	ita13514	666527	
ila35584	ita37980	0.0143	0.0907	0.157662624035281	(ita,ila)	AT5G64580.1	ita37980	703017	
ila18592	ita34662	0.0908	0.1773	0.512126339537507	(ita,ila)	none	ita34662	123116	
ila3031	ita10200	0.0160	0.1631	0.0980993255671367	(ita,ila)	none	ita10200	107205	
ila35747	ita5237	0.0256	0.1130	0.226548672566372	(ila,ita)	AT3G16350.1	ila35747	699815	
ila216709	ita22604	0.0182	0.0503	0.36182902584493	(ita,ila)	none	ita22604	553049	
ila17489	ita8323	0.0259	0.1429	0.181245626312106	(ila,ita)	none	ila17489	879505	
ila35248	ita9966	0.0137	0.0990	0.138383838383838	(ila,ita)	AT4G02050.1	ila35248	697772	
ila218663	ita15170	0.0743	0.1078	0.689239332096475	(ita,ila)	none	ita15170	702012	
ila25577	ita23946	0.0105	0.1065	0.0985915492957747	(ila,ita)	AT5G39450.1	ila25577	579537	
ila6831	ita13089	0.0194	0.1044	0.185823754789272	(ita,ila)	AT5G33280.1	ita13089	693572	
ila11868	ita24822	0.0188	0.1357	0.138540899042004	(ita,ila)	AT5G35180.1	ita24822	706040	
ila16408	ita12488	1.0970	65.4548	0.0167596570457782	(ila,ita)	AT5G57610.1	ila16408	685740	
ila232894	ita11222	0.0085	0.1114	0.0763016157989228	(ila,ita)	AT1G07360.1	ila232894	552222	
ila6584	ita25370	0.0131	0.0585	0.223931623931624	(ita,ila)	AT1G73650.3	ita25370	579410	
ila25672	ita1144	0.0477	0.1098	0.434426229508197	(ita,ila)	AT1G69530.2	ita11448	551420	
ila14049	ita35297	0.0232	0.1062	0.218455743879473	(ila,ita)	none	ila14049	560149	
ila28191	ita21932	0.0149	0.1672	0.0891148325358852	(ila,ita)	AT5G50370.1	ila28191	538921	
ila232094	ita36630	0.0026	0.0559	0.0465116279069767	(ila,ita)	AT5G65700.1	ila232094	573311	
ila222201	ita11384	0.0248	0.0545	0.455045871559633	(ita,ila)	none	ita11384	553049	
ila33225	ita16086	0.0288	0.1026	0.280701754385965	(ita,ila)	none	ita16086	576014	
ila29651	ita33487	0.0409	0.1569	0.260675589547482	(ita,ila)	none	ita33487	380505	
ila31007	ita11344	0.0180	0.1119	0.160857908847185	(ila,ita)	AT2G21470.2	ila31007	689608	
ila222633	ita5665	0.0164	0.1358	0.120765832106038	(ila,ita)	AT3G54320.3	ila222633	628630	
ila10185	ita38589	0.0324	0.1514	0.214002642007926	(ita,ila)	AT5G51020.1	ita38589	568855	
ila31985	ita35794	0.0485	0.2738	0.177136596055515	(ita,ila)	AT2G24270.1	ita35794	691031	
ila35906	ita18946	0.0218	0.1302	0.167434715821813	(ila,ita)	AT5G01510.1	ila35906	706730	
ila33024	ita33779	0.0046	0.0996	0.0461847389558233	(ita,ila)	AT4G02350.1	ita33779	580457	
ila31958	ita19629	0.0268	0.0900	0.297777777777778	(ila,ita)	none	ila31958	155193	
ila36394	ita6610	0.0406	0.1535	0.264495114006515	(ita,ila)	none	ita6610	870583	
ila32578	ita13591	0.0424	0.1279	0.331508991399531	(ita,ila)	AT2G46060.2	ita13591	113544	
ila37305	ita37803	0.9415	67.1422	0.0140224776668027	(ita,ila)	none	ita37803	597347	
ila29210	ita12893	0.0268	0.0641	0.418096723868955	(ita,ila)	none	ita12893	701390	
ila229816	ita37868	0.0343	0.1132	0.303003533568905	(ila,ita)	AT4G17750.1	ila229816	702036	
ila35861	ita7604	0.0218	0.0878	0.248291571753986	(ita,ila)	AT2G16940.1	ita7604	869170	
ila213179	ita31040	0.0167	0.1258	0.13275039745628	(ila,ita)	none	ila213179	700122	
ila29474	ita25217	0.0088	0.0297	0.296296296296296	(ila,ita)	none	ila29474	551224	
ila5800	ita7768	0.0311	0.2831	0.109855174849876	(ila,ita)	none	ila5800	405216	
ila3733	ita25163	0.0504	0.1440	0.35	(ita,ila)	none	ita25163	689230	
ila231605	ita17328	0.0168	0.0834	0.201438848920863	(ila,ita)	AT1G43580.1	ila231605	690323	
ila231200	ita18955	0.0115	0.1281	0.0897736143637783	(ita,ila)	none	ita18955	699372	
ila23788	ita22588	0.0053	0.0934	0.056745182012848	(ita,ila)	AT2G20420.1	ita22588	692055	
ila15789	ita5377	0.0269	0.1091	0.246562786434464	(ita,ila)	AT3G22845.1	ita5377	695913	
ila31791	ita15204	0.0137	0.1037	0.132111861137898	(ila,ita)	AT2G47830.2	ila31791	695684	
ila5776	ita24653	1.2331	2.3244	0.530502495267596	(ita,ila)	none	ita24653	655284	
ila3243	ita29787	0.0334	0.1131	0.295313881520778	(ila,ita)	none	ila3243	571564	
ila21323	ita11759	0.0194	0.1337	0.145100972326103	(ita,ila)	AT4G02440.1	ita11759	561818	
ila27330	ita4008	0.0182	0.1827	0.0996168582375479	(ita,ila)	none	ita4008	709807	
ila23871	ita8944	0.0017	0.0740	0.022972972972973	(ila,ita)	AT5G61500.1	ila23871	58357	
ila8217	ita21985	0.0078	0.1540	0.0506493506493506	(ita,ila)	AT5G19180.1	ita21985	547626	
ila36995	ita29470	0.0163	0.0929	0.17545748116254	(ila,ita)	none	ila36995	563713	
ila36470	ita39237	0.0025	0.1107	0.022583559168925	(ita,ila)	AT3G17000.1	ita39237	877160	
ila229992	ita4196	0.0344	0.1861	0.184846856528748	(ita,ila)	AT5G23430.2	ita4196	695394	
ila226582	ita19937	0.0863	0.2223	0.38821412505623	(ila,ita)	none	ila226582	688067	
ila37002	ita24989	0.0185	0.1025	0.180487804878049	(ila,ita)	none	ila37002	699712	
ila25837	ita25569	0.0133	0.1895	0.0701846965699208	(ila,ita)	AT3G02050.1	ila25837	705791	
ila4651	ita10191	0.0090	0.1202	0.0748752079866888	(ita,ila)	AT4G08500.2	ita10191	495658	
ila31508	ita30775	0.0136	0.0853	0.159437280187573	(ila,ita)	none	ila31508	703434	
ila189	ita21804	0.0431	0.1407	0.306325515280739	(ita,ila)	AT1G33720.1	ita21804	319184	
ila37239	ita24667	0.0067	0.1348	0.0497032640949555	(ila,ita)	AT5G09590.1	ila37239	558292	
ila211532	ita8353	0.0361	0.0747	0.483266398929049	(ila,ita)	none	ila211532	700830	
ila26638	ita17406	0.0284	0.1436	0.197771587743733	(ila,ita)	AT1G21750.2	ila26638	369932	
ila29154	ita26538	0.0709	0.1945	0.36452442159383	(ila,ita)	AT2G20280.1	ila29154	554821	
ila229805	ita11891	0.0292	0.1383	0.211135213304411	(ila,ita)	none	ila229805	833930	
ila26886	ita32148	0.0296	0.1306	0.226646248085758	(ila,ita)	AT2G46915.1	ila26886	554163	
ila16624	ita13752	0.0309	0.0467	0.661670235546039	(ita,ila)	none	ita13752	697357	
ila34684	ita14465	0.0128	0.1466	0.08731241473397	(ita,ila)	AT1G75950.1	ita14465	577436	
ila230001	ita27708	0.0198	0.1304	0.151840490797546	(ila,ita)	none	ila230001	566087	
ila34844	ita5959	0.0196	0.0701	0.279600570613409	(ita,ila)	AT1G16080.1	ita5959	572210	
ila232052	ita30446	0.0061	0.1204	0.0506644518272425	(ila,ita)	AT1G61040.1	ila232052	698477	
ila7499	ita31930	0.0001	0.0817	0.00122399020807834	(ita,ila)	AT3G10400.1	ita31930	560764	
ila12251	ita31964	0.0165	0.1226	0.134584013050571	(ita,ila)	AT5G36890.2	ita31964	701792	
ila19668	ita20683	0.0094	0.1198	0.0784641068447412	(ila,ita)	AT4G36860.1	ila19668	697002	
ila217213	ita26102	0.0255	0.0834	0.305755395683453	(ita,ila)	AT3G47390.1	ita26102	701068	
ila232401	ita9804	0.0180	0.0882	0.204081632653061	(ila,ita)	AT3G23640.1	ila232401	708412	
ila226125	ita26055	0.0538	0.2134	0.252108716026242	(ita,ila)	none	ita26055	693741	
ila217365	ita6015	0.1685	0.6624	0.254378019323672	(ita,ila)	none	ita6015	569986	
ila16490	ita28844	0.0047	0.1124	0.0418149466192171	(ita,ila)	AT4G24630.1	ita28844	701758	
ila8909	ita12901	0.0187	0.0568	0.329225352112676	(ita,ila)	AT4G16800.1	ita12901	478147	
ila232913	ita30131	0.0409	0.2257	0.181214000886132	(ila,ita)	none	ila232913	699422	
ila36729	ita37391	0.0499	0.3346	0.149133293484758	(ita,ila)	none	ita37391	688683	
ila28345	ita18581	0.0051	0.1290	0.0395348837209302	(ila,ita)	none	ila28345	752816	
ila36509	ita16956	0.0280	0.1135	0.246696035242291	(ita,ila)	none	ita16956	560149	
ila230985	ita13996	0.0265	0.0638	0.415360501567398	(ita,ila)	none	ita13996	55778	
ila27907	ita13040	0.0272	0.1590	0.171069182389937	(ila,ita)	AT3G23430.1	ila27907	701563	
ila35805	ita18610	0.0208	0.0993	0.209466263846928	(ila,ita)	AT5G67590.1	ila35805	942871	
ila224279	ita38501	0.0493	0.0415	1.18795180722892	(ila,ita)	none	ila224279	331123	
ila231482	ita20596	0.0093	0.1075	0.0865116279069767	(ita,ila)	none	ita20596	671111	
ila10966	ita20881	0.0353	0.1208	0.292218543046358	(ita,ila)	none	ita20881	701946	
ila9116	ita28349	0.0430	0.2321	0.18526497199483	(ita,ila)	AT1G26560.1	ita28349	691939	
ila222702	ita17303	0.0179	0.1322	0.135400907715582	(ila,ita)	none	ila222702	691143	
ila18413	ita20356	0.0290	0.2037	0.142366224840452	(ila,ita)	none	ila18413	570761	
ila210617	ita12109	0.0681	0.1652	0.412227602905569	(ita,ila)	AT4G02290.1	ita12109	697160	
ila23651	ita17164	0.0177	0.1009	0.175421209117939	(ila,ita)	AT3G26730.1	ila23651	701043	
ila226	ita7666	0.1731	0.4168	0.415307101727447	(ita,ila)	none	ita7666	552681	
ila223556	ita23856	0.0253	0.1130	0.223893805309734	(ila,ita)	none	ila223556	558221	
ila10915	ita36866	0.0236	0.0736	0.320652173913043	(ila,ita)	AT5G52210.2	ila10915	23866	
ila227763	ita9614	0.0232	0.0606	0.382838283828383	(ita,ila)	AT1G12240.1	ita9614	674867	
ila37147	ita34860	0.0118	0.1138	0.103690685413005	(ita,ila)	AT3G59970.3	ita34860	705977	
ila24850	ita31581	0.7054	2.8514	0.247387248369222	(ila,ita)	none	ila24850	709542	
ila214762	ita2760	0.0651	0.1238	0.525848142164782	(ita,ila)	none	ita27607	615648	
ila233174	ita38063	0.0198	0.1041	0.190201729106628	(ita,ila)	AT4G02900.1	ita38063	695537	
ila33328	ita25097	0.0147	0.0117	1.25641025641026	(ita,ila)	none	ita25097	275785	
ila1643	ita32160	0.0842	0.2096	0.401717557251908	(ita,ila)	AT2G45140.1	ita32160	697340	
ila33693	ita27759	0.0196	0.1227	0.159739201303993	(ita,ila)	AT1G06950.1	ita27759	560979	
ila35587	ita30054	0.0265	0.0620	0.42741935483871	(ita,ila)	none	ita30054	548443	
ila15636	ita982	0.0515	0.0788	0.653553299492386	(ila,ita)	none	ila15636	546832	
ila11105	ita15366	0.0226	0.1010	0.223762376237624	(ila,ita)	none	ila11105	620758	
ila216697	ita37034	0.0423	0.1348	0.31379821958457	(ita,ila)	none	ita37034	439452	
ila34901	ita32287	0.0104	0.0794	0.130982367758186	(ila,ita)	none	ila34901	709818	
ila210414	ita32844	0.0385	0.1310	0.293893129770992	(ita,ila)	none	ita32844	857885	
ila12018	ita17409	0.0286	0.0912	0.31359649122807	(ita,ila)	AT1G80360.1	ita17409	693543	
ila229892	ita35559	0.0217	0.0670	0.323880597014925	(ita,ila)	none	ita35559	547035	
ila36499	ita4974	0.0215	0.1181	0.182049110922947	(ita,ila)	AT3G25840.1	ita4974	860541	
ila215988	ita13376	0.7932	2.4972	0.317635752042287	(ila,ita)	none	ila215988	692254	
ila15347	ita34490	0.0176	0.0804	0.218905472636816	(ila,ita)	none	ila15347	137846	
ila2056	ita35475	0.0160	0.1444	0.110803324099723	(ita,ila)	AT5G26610.2	ita35475	381778	
ila23616	ita30359	0.0193	0.2007	0.096163428001993	(ila,ita)	AT1G78590.1	ila23616	625731	
ila232317	ita18966	0.0218	0.1102	0.197822141560799	(ila,ita)	none	ila232317	687996	
ila26894	ita13820	0.0505	0.1331	0.379413974455297	(ila,ita)	none	ila26894	850833	
ila16224	ita27878	0.0001	0.1053	0.000949667616334283	(ila,ita)	none	ila16224	707427	
ila36496	ita24976	0.0092	0.1260	0.073015873015873	(ita,ila)	AT2G19560.1	ita24976	708052	
ila18742	ita21739	0.0224	0.1097	0.204193254329991	(ila,ita)	AT5G52540.1	ila18742	570730	
ila28544	ita33194	0.0210	0.1313	0.15993907083016	(ita,ila)	AT5G65290.1	ita33194	370425	
ila231893	ita24738	0.0147	0.1353	0.108647450110865	(ita,ila)	AT5G60990.1	ita24738	187705	
ila4126	ita22086	0.0098	0.1119	0.0875781948168007	(ita,ila)	AT1G55090.1	ita22086	701402	
ila36345	ita8178	0.0248	0.0931	0.266380236305048	(ita,ila)	AT1G03930.1	ita8178	696083	
